% This file is created by the Prizma 1.0.
% Prizma is a Turkish Text Classification Environment for Weka 
% and developed by Harun Reşit Zafer with Fatih Universtiy Natural Language Processing Group.
% http://nlp.ceng.fatih.edu.tr/blog/
% hrzafer@fatih.edu.tr
% www.hrzafer.com

@relation dataset

@attribute LengthOfTitle numeric
@attribute NumberCount numeric
@attribute PunctuationColonRatio numeric
@attribute PunctuationCommaRatio numeric
@attribute PunctuationCountOfTitle numeric
@attribute PunctuationDashRatio numeric
@attribute PunctuationDoubleQuoteRatio numeric
@attribute PunctuationEllipsisRatio numeric
@attribute PunctuationExclamationRatio numeric
@attribute PunctuationQuestionMarkRatio numeric
@attribute PunctuationRatio numeric
@attribute PunctuationSemicolonRatio numeric
@attribute StopwordRatio numeric
@attribute WhyCount numeric
@attribute WordCountOfTitle numeric
@attribute WordLengthAverage numeric
@attribute WordLengthVariance numeric
@attribute class {1,0}

% The first 13,224 instances (%66) is used for training
% and the rest 6,812 instances (%34) is used as test data.
% Total instance count is 20,036
% In Weka (to get correct results), select "percentage split %66" and "preserve order for % split" options

@data
49,0,1,0,1,0,0,0,0,0,0.02,0,0.14,0,7,6.00,4,1
58,2,1,0,2,0,0,0,0,0,0.04,0,0.1,0,10,5.38,8,1
48,1,1,0,1,0,0,0,0,0,0.02,0,0,0,7,6.67,5,1
29,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,9.00,21,1
30,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,6.75,24,1
43,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.29,0,7,5.29,5,1
23,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,7.00,1,1
19,0,0,0,2,0,0,0,0.5,0,0.13,0,0.33,0,4,5.00,13,1
32,0,0,0,1,0,0,0,0,1,0.03,0,0,0,3,9.67,14,1
37,1,0,0,2,0,0,0,0.5,0,0.06,0,0,0,6,7.25,5,1
84,1,0,0,2,0,0,0,0,1,0.03,0,0.08,0,13,5.75,6,1
43,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,5,7.80,11,1
14,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,2,6.50,25,1
56,0,0.333,0.333,3,0,0,0,0,0,0.07,0,0.25,0,9,5.75,6,1
52,0,0,0,2,0,0,0,0,0,0.04,0,0,0,8,7.50,8,1
54,0,0,0,1,0,0,0,0,0,0.02,0,0,0,8,6.71,8,1
48,0,0,0,1,0,0,0,1,0,0.02,0,0,0,7,5.86,7,1
22,0,0,0,1,0,0,0,1,0,0.05,0,0,0,3,6.33,1,1
35,0,0,0,5,0,0,0.333,0.2,0,0.19,0,0,0,6,5.20,1,1
34,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,7.75,11,1
77,0,1,0,1,0,0,0,0,0,0.01,0,0,0,8,8.63,12,1
66,0,0.333,0,3,0,0,0,0,0,0.05,0,0,0,10,7.00,3,1
73,1,0,0,2,0,0,0,0,1,0.03,0,0.23,0,13,4.58,3,1
58,0,0,0,5,0,0,0.333,0,0,0.11,0,0.12,0,8,5.75,2,1
49,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.29,0,7,6.14,7,1
85,0,0,0.2,5,0,0,0,0.4,0,0.07,0,0,0,12,7.10,4,1
37,1,0,0,2,0,0,0,0.5,0,0.06,0,0,0,6,7.50,4,1
58,1,0.5,0,2,0,0,0,0,0,0.04,0,0.22,0,10,5.63,5,1
37,0,0,0,1,0,0,0,0,0,0.03,0,0,0,5,8.25,23,1
68,0,0,0,2,0,0,0,0.5,0,0.03,0,0.11,0,10,6.44,8,1
50,1,0,0,1,0,0,0,0,0,0.02,0,0,0,8,6.67,2,1
31,0,0,0,3,0,0,1,0,0,0.12,0,0.4,0,5,4.80,5,1
35,0,0,0,4,0,0,0,0.25,0,0.14,0,0,0,5,7.00,5,1
25,0,0,0,1,0,0,0,0,0,0.05,0,0,0,5,5.25,4,1
48,0,0,0,1,0,0,0,0,0,0.02,0,0,0,8,5.86,1,1
40,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.2,0,5,7.20,4,1
45,0,0,0,2,0,0,0,0,0,0.05,0.5,0,0,6,7.80,10,1
50,0,0,0,4,0,0,0.5,0.25,0,0.1,0,0,0,6,6.83,3,1
21,0,0,0,1,0,0,0,0,0,0.06,0,0,0,4,6.00,13,1
42,0,0,0,5,0,0,0,0.2,0,0.15,0,0,0,7,6.60,1,1
13,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,2,6.00,2,1
41,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,6,7.00,9,1
42,3,0,0.5,2,0,0,0,0,0,0.06,0,0,0,9,5.80,2,1
28,0,0,0,1,0,0,0,0,0,0.04,0,0,0,5,6.00,2,1
56,0,0,0,3,0.333,0,0,0,0.667,0.06,0,0.29,0,7,6.71,2,1
46,0,0,0.333,3,0,0,0,0,0,0.08,0,0,0,6,6.33,7,1
82,0,0,0,2,0,0,0,0.5,0.5,0.03,0,0.09,0,11,6.36,3,1
97,1,0,0,5,0,0,0,0,0.6,0.06,0,0.25,0,16,4.87,7,1
59,0,0,0,5,0,0,0.333,0.2,0,0.1,0,0,0,7,8.17,8,1
52,0,0,0,4,0.25,0,0,0.25,0,0.09,0,0,0,8,7.17,10,1
35,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,8.00,2,1
137,1,0,0,2,0,0,0,1,0,0.02,0,0.06,0,18,6.76,3,1
33,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,5,6.75,3,1
33,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,6,5.40,5,1
42,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,5,7.60,4,1
62,0,0.143,0,7,0,0,0.2,0.143,0,0.15,0,0.12,0,10,5.63,9,1
32,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,10.00,1,1
46,0,0,0,1,0,0,0,0,1,0.03,0,0,0,7,5.57,3,1
20,1,0,0,1,0,0,0,0,0,0.06,0,0,0,4,7.00,2,1
51,0,0,0.333,3,0,0,0,0,0,0.07,0,0.14,0,7,6.00,3,1
49,0,0,0,2,0.5,0,0,0.5,0,0.05,0,0,0,6,7.00,5,1
89,2,0,0,3,0,0,0,0.333,0.333,0.04,0,0.08,0,12,6.90,8,1
79,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,10,7.56,6,1
44,0,0,0,1,0,0,0,0,0,0.03,0,0,0,7,6.33,6,1
14,0,0,0,3,0,0,1,0,0,0.3,0,0.5,0,2,5.00,2,1
20,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,5.33,8,1
85,0,0,0,3,0,0,0,0.333,0.333,0.04,0,0.08,0,13,5.92,5,1
42,1,0,0.25,4,0,0,0,0,0.25,0.12,0,0.17,0,8,5.80,1,1
65,0,0,0,6,0,0,0.25,0.167,0,0.12,0,0.12,0,10,6.50,3,1
69,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,9,6.78,4,1
21,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,4.50,2,1
40,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.17,0,6,5.83,7,1
33,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,7.50,6,1
43,0,0,0,3,0,0,0,0.333,0,0.09,0,0,0,9,4.86,2,1
63,0,0.143,0,7,0,0,0.667,0,0,0.14,0,0.25,0,8,6.13,9,1
60,0,0,0,1,0,0,0,0,0,0.02,0,0,0,8,7.29,10,1
98,0,0,0,4,0,0,0.5,0,0.25,0.05,0,0.4,0,15,5.33,9,1
43,0,1,0,1,0,0,0,0,0,0.03,0,0.29,0,7,5.14,4,1
39,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,6,6.60,3,1
81,0,0.25,0,4,0,0,0,0.25,0,0.06,0,0,0,11,7.67,10,1
63,0,0,0,1,0,0,0,1,0,0.02,0,0.12,0,8,6.88,13,1
25,2,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,6,4.50,1,1
72,0,0,0,2,0,0,0,1,0,0.03,0,0.22,0,9,6.89,18,1
34,0,0,0,2,0,1,0,0,0,0.07,0,0,0,4,7.25,2,1
68,1,0,0,1,0,0,0,1,0,0.02,0,0.2,0,10,6.22,16,1
21,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,6.33,0,1
32,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.25,0,4,7.25,23,1
51,0,0,0,2,0,0,0,0,0,0.05,0,0.29,0,7,6.14,20,1
25,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,7.67,9,1
61,0,0,0,2,0.5,0,0,0,0,0.04,0,0.14,0,8,7.57,24,1
26,0,0,0,2,0,0,0,0,0,0.09,0,0.33,0,3,7.33,12,1
33,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,5,6.75,1,1
43,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.5,0,6,6.33,10,1
68,1,1,0,1,0,0,0,0,0,0.02,0,0.1,0,10,6.22,5,1
85,0,0,0,4,0,0,0,0.25,0,0.06,0,0.1,0,11,7.20,9,1
58,0,0,0,4,0,0,0,0.25,0,0.08,0,0,0,10,6.86,2,1
31,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,7.00,3,1
52,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,6,7.83,3,1
58,0,0,0,5,0,0,0.333,0.2,0,0.1,0,0,0,7,8.00,12,1
41,0,0,0,2,0,0,0,0.5,0,0.06,0,0.33,0,7,5.67,19,1
87,0,0,0,2,0,0,0,0,0.5,0.03,0,0.08,0,13,5.83,7,1
70,2,0,0,2,0,0,0,1,0,0.03,0,0,0,11,6.11,9,1
36,0,0,0,1,0,0,0,0,0,0.03,0,0.43,0,8,4.14,5,1
38,0,0,1,1,0,0,0,0,0,0.03,0,0,0,4,8.50,3,1
41,1,0,0,1,0,0,0,0,0,0.03,0,0,0,7,6.60,2,1
28,0,0,0,1,0,0,0,0,0,0.04,0,0,0,5,6.00,7,1
61,0,0,0,3,0,0,0,0,0.333,0.06,0,0.17,0,8,8.83,15,1
47,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.33,0,6,7.00,6,1
24,0,0,0,2,0,0,0,0,0,0.1,0,0,0,5,6.67,4,1
53,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.14,0,7,6.71,14,1
22,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,6.67,8,1
37,0,0,0,1,0,0,0,1,0,0.03,0,0.4,0,5,6.40,12,1
69,0,0,0,2,0,0,0,0,1,0.04,0,0.55,0,11,5.18,4,1
36,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,8.25,6,1
55,1,0,0,4,0,0,0.5,0.25,0,0.09,0,0,0,7,7.17,5,1
34,0,0,0,1,0,0,0,0,1,0.03,0,0.6,0,5,5.80,6,1
65,2,0,0,6,0,0,0.25,0.167,0,0.12,0,0.18,0,13,5.11,7,1
53,1,0,0.5,2,0,0,0,0,0,0.04,0,0,0,8,7.33,3,1
92,0,0,0,1,0,0,0,0,0,0.01,0,0,0,12,7.36,5,1
12,0,0,0,1,0,0,0,1,0,0.1,0,0,0,2,5.00,8,1
43,1,0,0,1,0,0,0,0,0,0.03,0,0,0,8,5.50,7,1
29,1,0,0,1,0,0,0,0,0,0.04,0,0,0,6,5.75,6,1
41,0,0,0,1,0,0,0,1,0,0.03,0,0.33,0,6,5.83,5,1
39,0,0,0,1,0,0,0,0,0,0.03,0,0.2,0,6,6.80,7,1
35,0,0,0,3,0,0,1,0,0,0.1,0,0,0,4,7.25,7,1
55,0,0,0,3,0,0,0,0,0.667,0.07,0,0.38,0,9,5.63,7,1
10,0,0,0,1,0,0,0,1,0,0.11,0,0,0,1,9.00,0,1
35,0,0,0,1,0,0,0,0,0,0.03,0,0,0,5,7.75,11,1
35,0,0,0,2,0,0,0,0.5,0,0.07,0,0,0,5,7.50,14,1
36,0,0,0,1,0,0,0,0,1,0.03,0,0.6,0,5,6.20,9,1
56,0,0,0,1,0,0,0,0,0,0.02,0,0,0,8,7.00,7,1
40,0,0.333,0,3,0,0,0,0,0,0.09,0,0.2,0,6,6.60,7,1
67,0,0,0,3,0,0,0,0,0.667,0.05,0,0.6,0,11,5.50,7,1
21,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,5.67,0,1
42,0,0,0.5,2,0,0,0,0,0.5,0.06,0,0.33,0,6,5.83,17,1
22,0,0,0,2,0,0,0,0,0,0.11,0,0,0,5,6.00,7,1
48,0,0,0,3,0,0,0,0.333,0,0.08,0,0.14,0,9,5.29,14,1
39,0,0,0,1,0,0,0,0,1,0.03,0,0.57,0,7,4.57,2,1
42,0,0,0,3,0,0,0,0,0,0.09,0,0,0,7,7.00,6,1
42,0,0,0,1,0,0,0,0,1,0.03,0,0.5,0,6,6.00,5,1
44,1,0,0,2,0,0,0,0.5,0,0.06,0,0.14,0,8,5.83,5,1
26,0,0,0,2,0,0,0,0.5,0,0.09,0,0,0,4,7.33,1,1
31,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,7.00,2,1
21,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,6.33,12,1
77,0,0,0,1,0,0,0,1,0,0.01,0,0.11,0,9,7.56,5,1
25,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,7.67,6,1
41,0,0,0,2,0,0,0,0,0,0.06,0,0.17,0,6,5.67,1,1
71,0,0.167,0,6,0,0,0.25,0,0,0.1,0,0,0,8,7.25,7,1
62,0,0,0,1,0,0,0,0,0,0.02,0,0,0,8,7.86,4,1
59,2,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,8,7.50,4,1
62,0,0,0.333,3,0,0,0,0,0.667,0.06,0,0.22,0,9,5.67,5,1
27,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,8.33,22,1
44,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.12,0,8,5.00,7,1
40,0,0,0,2,0,0,0,0.5,0,0.06,0,0,0,6,6.80,12,1
18,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,5.33,6,1
45,2,0,0,1,0,0,0,0,0,0.03,0,0,0,8,7.20,4,1
84,0,0,0,4,0,0,0.5,0,0,0.06,0,0.17,0,13,5.75,4,1
30,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,0,NaN,0.17,0,6,4.17,9,1
35,1,0,0,1,0,0,0,0,0,0.03,0,0,0,5,10.00,12,1
18,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,3,7.00,0,1
53,0,0,0,1,0,0,0,0,1,0.02,0,0.17,0,6,7.83,7,1
82,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,11,6.55,6,1
64,0,0.167,0,6,0,0,0.25,0.167,0,0.12,0,0.12,0,9,6.38,3,1
64,0,0,0,6,0,0,0.25,0.167,0,0.12,0,0.2,0,12,4.90,2,1
45,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.12,0,8,5.14,2,1
48,0,0,0,2,0,0,0,0,0,0.05,0,0,0,9,5.71,6,1
42,0,0.5,0,2,0,0,0,0,0,0.06,0,0.29,0,8,4.86,5,1
74,0,0,0,2,0,0,0,0,0.5,0.03,0,0.2,0,11,6.30,9,1
38,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.4,0,5,6.80,10,1
37,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,4,8.50,4,1
32,0,0,0,1,0,0,0,0,0,0.04,0,0.4,0,6,5.40,8,1
52,2,0,0,2,0,0,0,0.5,0,0.05,0,0,0,9,6.50,4,1
25,0,0,0,1,0,0,0,0,0,0.05,0,0,0,5,5.25,1,1
56,2,0,0.167,6,0,0,0.25,0.167,0,0.14,0,0.14,0,9,7.00,13,1
78,0,0,0,1,0,0,0,0,0,0.01,0,0,0,11,6.80,7,1
65,0,0.333,0.333,3,0,0,0,0,0,0.06,0,0.22,0,10,6.00,7,1
41,1,0,0,3,0,0,0,0.333,0,0.09,0,0,0,7,8.00,14,1
42,1,0,0,1,0,0,0,0,0,0.03,0,0,0,7,6.80,11,1
27,0,0,0,1,0,0,0,0,0,0.04,0,0,0,5,5.75,1,1
43,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0.62,0,8,4.50,5,1
16,0,0,0,1,0,0,0,0,1,0.08,0,0.67,0,3,4.33,2,1
56,0,0,0,4,0,0,0.5,0.25,0,0.09,0,0.38,0,8,5.63,6,1
62,0,0,0.5,4,0,0,0,0.25,0,0.08,0,0.1,0,11,4.90,7,1
30,0,0,0,1,0,0,0,0,0,0.04,0,0,0,5,6.50,3,1
50,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,0,NaN,0.2,0,5,9.20,16,1
55,0,0,0,1,0,0,0,1,0,0.02,0,0.14,0,7,6.86,8,1
66,1,0,0,1,0,0,0,1,0,0.02,0,0,0,9,7.00,4,1
59,0,0.333,0,3,0,0,0,0,0,0.06,0,0.14,0,9,7.14,7,1
47,2,0,0,2,0,0,0,0,0.5,0.05,0,0.12,0,9,5.17,5,1
102,0,0,0,4,0,0,0.5,0.25,0,0.05,0,0.23,0,13,6.62,5,1
15,0,0,0,1,0,0,0,0,0,0.08,0,0,0,3,6.50,5,1
